,schname,subject,pAboveprof
64,Amherst Middle School,sci,36
233,Ross A. Lurgio Middle School,sci,34
587,Great Brook School,sci,21
631,South Meadow School,sci,32
1225,Mountain View Middle School,sci,15
1552,Hillsboro-Deering Middle School,sci,13
1623,Hollis-Brookline Middle School,sci,33
1697,Hudson Memorial School,sci,24
2111,Litchfield Middle School,sci,28
2284,Henry J. McLaughlin Middle School,sci,10
2304,Hillside Middle School,sci,10
2358,Middle School At Parkside,sci,12
2398,Southside Middle School,sci,11
2469,Boynton Middle School,sci,17
2555,Merrimack Middle School,sci,25
2675,Milford Middle School,sci,26
2902,Elm Street Middle School,sci,25
2922,Fairgrounds Middle School,sci,26
2984,Pennichuck Middle School,sci,12
3317,Pelham Memorial School,sci,29
4324,Weare Middle School,sci,26
4444,Wilton-Lyndeboro Middle School,sci,11
